#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.38e+01    1.62e+01      1.36e-01    3.27e-01      7.50e-01    5.03e-01    1.0e-03
   1000      1.33e+01    1.28e+01      1.01e-01    3.56e-01      4.20e-01    3.88e-01    1.0e-03
   2000      1.34e+01    1.15e+01      8.35e-02    2.85e-02      4.21e-01    3.64e-01    1.0e-03
   3000      1.03e+01    1.17e+01      1.56e-01    7.12e-02      3.23e-01    3.69e-01    1.0e-03
   4000      9.70e+00    1.01e+01      1.30e-01    1.39e-01      3.04e-01    3.15e-01    1.0e-03
   5000      6.08e+00    9.79e+00      1.40e-01    1.85e-01      1.81e-01    3.04e-01    1.0e-03
   6000      8.43e+00    9.96e+00      1.47e-01    1.18e-01      2.63e-01    3.13e-01    1.0e-03
   7000      5.84e+00    8.89e+00      7.41e-02    5.20e-02      1.81e-01    2.81e-01    1.0e-03
   8000      8.31e+00    8.76e+00      2.47e-02    1.38e-01      2.63e-01    2.73e-01    1.0e-03
   9000      8.39e+00    8.32e+00      4.67e-02    1.05e-02      2.65e-01    2.63e-01    1.0e-03
  10000      8.23e+00    4.69e+00      1.78e-01    1.37e-01      2.54e-01    1.34e-01    1.0e-03
  11000      3.74e+00    8.05e+00      3.26e-02    9.14e-02      1.17e-01    2.53e-01    1.0e-03
  12000      4.28e+00    7.41e+00      7.16e-02    3.27e-02      1.31e-01    2.34e-01    1.0e-03
  13000      6.81e+00    8.55e+00      1.11e-02    5.32e-02      2.15e-01    2.70e-01    1.0e-03
  14000      7.17e+00    8.03e+00      1.22e-01    3.94e-02      2.23e-01    2.53e-01    1.0e-03
  15000      7.65e+00    7.80e+00      1.33e-01    1.62e-01      2.38e-01    2.41e-01    1.0e-03
  16000      8.21e+00    7.77e+00      1.20e-01    1.55e-02      2.57e-01    2.46e-01    1.0e-03
  17000      7.83e+00    7.63e+00      4.34e-02    5.42e-02      2.47e-01    2.41e-01    1.0e-03
  18000      8.14e+00    7.86e+00      9.45e-02    1.05e-01      2.56e-01    2.46e-01    1.0e-03
  19000      7.43e+00    7.99e+00      2.01e-02    1.35e-01      2.35e-01    2.49e-01    1.0e-03
  20000      9.47e+00    7.98e+00      7.91e-02    1.66e-02      1.30e-01    2.64e-01    8.9e-04
  21000      8.06e+00    8.14e+00      1.25e-02    2.80e-02      2.68e-01    2.63e-01    8.9e-04
  22000      8.30e+00    4.31e+00      2.69e-02    2.49e-02      2.70e-01    1.12e-01    8.9e-04
  23000      8.19e+00    7.46e+00      2.62e-02    3.48e-02      2.66e-01    2.34e-01    8.9e-04
  24000      8.19e+00    8.09e+00      9.72e-03    5.36e-02      2.73e-01    2.36e-01    8.9e-04
  25000      7.05e+00    7.63e+00      2.90e-03    1.31e-02      2.36e-01    2.51e-01    8.9e-04
  26000      7.95e+00    5.32e+00      1.41e-02    1.62e-02      2.64e-01    1.68e-01    8.9e-04
  27000      6.90e+00    8.45e+00      4.93e-02    1.75e-02      1.44e-01    2.80e-01    8.9e-04
  28000      7.03e+00    7.53e+00      1.30e-02    1.77e-03      2.33e-01    2.52e-01    8.9e-04
  29000      1.04e+01    7.93e+00      6.90e-02    1.72e-02      2.38e-01    2.62e-01    8.9e-04
  30000      1.01e+01    5.08e+00      8.43e-02    2.17e-02      2.65e-01    1.50e-01    8.9e-04
  31000      3.81e+00    6.75e+00      1.01e-03    5.51e-03      1.28e-01    2.25e-01    8.9e-04
  32000      7.45e+00    7.81e+00      3.99e-02    1.82e-03      2.02e-01    2.61e-01    8.9e-04
  33000      6.86e+00    9.19e+00      2.61e-03    4.76e-02      2.29e-01    2.84e-01    8.9e-04
  34000      7.82e+00    7.59e+00      3.03e-02    3.80e-02      2.51e-01    2.36e-01    8.9e-04
  35000      4.06e+00    7.79e+00      1.14e-02    1.39e-02      1.30e-01    2.59e-01    8.9e-04
  36000      8.33e+00    7.42e+00      5.54e-02    2.86e-02      2.42e-01    2.38e-01    8.9e-04
  37000      5.59e+00    5.38e+00      4.17e-02    3.18e-02      1.08e-01    1.38e-01    8.9e-04
  38000      7.52e+00    7.82e+00      5.55e-02    5.15e-02      1.49e-01    1.82e-01    8.9e-04
  39000      8.54e+00    9.10e+00      3.83e-02    4.31e-02      2.70e-01    2.85e-01    8.9e-04
  40000      4.63e+00    6.89e+00      1.08e-02    8.89e-03      1.54e-01    2.42e-01    7.9e-04
  41000      8.09e+00    8.56e+00      7.72e-03    1.20e-02      2.85e-01    3.00e-01    7.9e-04
  42000      6.91e+00    6.51e+00      1.08e-02    7.01e-03      2.42e-01    2.29e-01    7.9e-04
  43000      6.71e+00    7.46e+00      4.12e-03    3.35e-03      2.37e-01    2.64e-01    7.9e-04
