#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.39e+01    1.59e+01      1.62e-01    3.36e-02      7.54e-01    5.02e-01    1.0e-03
   1000      1.28e+01    1.27e+01      3.80e-02    2.33e-01      4.05e-01    3.95e-01    1.0e-03
   2000      9.80e+00    8.08e+00      1.36e-01    1.16e-01      3.03e-01    2.50e-01    1.0e-03
   3000      9.77e+00    8.79e+00      9.29e-02    6.81e-02      3.08e-01    2.76e-01    1.0e-03
   4000      8.88e+00    9.28e+00      1.05e-01    1.09e-01      2.79e-01    2.91e-01    1.0e-03
   5000      5.70e+00    8.87e+00      7.37e-02    1.28e-01      1.77e-01    2.77e-01    1.0e-03
   6000      7.71e+00    9.15e+00      9.76e-02    7.16e-02      2.42e-01    2.89e-01    1.0e-03
   7000      4.85e+00    7.34e+00      1.51e-02    4.30e-02      1.53e-01    2.32e-01    1.0e-03
   8000      7.96e+00    8.07e+00      7.94e-03    8.66e-02      2.52e-01    2.54e-01    1.0e-03
   9000      8.03e+00    8.17e+00      4.35e-02    1.39e-02      2.53e-01    2.58e-01    1.0e-03
  10000      7.35e+00    4.05e+00      9.92e-02    5.91e-03      2.30e-01    1.28e-01    1.0e-03
  11000      3.75e+00    7.56e+00      7.35e-02    4.45e-02      1.14e-01    2.39e-01    1.0e-03
  12000      4.80e+00    7.47e+00      1.73e-01    1.27e-01      1.29e-01    2.29e-01    1.0e-03
  13000      7.07e+00    8.26e+00      8.70e-02    6.89e-03      2.20e-01    2.61e-01    1.0e-03
  14000      7.27e+00    7.38e+00      3.28e-02    3.76e-02      2.30e-01    2.33e-01    1.0e-03
  15000      7.27e+00    7.29e+00      9.55e-02    1.11e-01      2.28e-01    2.28e-01    1.0e-03
  16000      8.37e+00    7.36e+00      1.20e-01    9.32e-03      2.62e-01    2.33e-01    1.0e-03
  17000      7.36e+00    7.24e+00      3.77e-02    2.52e-02      2.32e-01    2.29e-01    1.0e-03
  18000      7.92e+00    8.21e+00      6.85e-02    7.68e-02      2.50e-01    2.59e-01    1.0e-03
  19000      7.08e+00    7.74e+00      4.78e-02    7.25e-02      2.24e-01    2.44e-01    1.0e-03
  20000      1.30e+01    7.48e+00      1.14e-01    2.41e-03      1.26e-01    2.50e-01    8.9e-04
  21000      7.71e+00    7.73e+00      7.43e-03    2.62e-02      2.57e-01    2.50e-01    8.9e-04
  22000      7.77e+00    3.23e+00      1.28e-02    8.53e-03      2.58e-01    1.04e-01    8.9e-04
  23000      7.78e+00    7.10e+00      1.51e-02    2.53e-02      2.58e-01    2.29e-01    8.9e-04
  24000      7.70e+00    7.37e+00      1.01e-03    3.58e-02      2.58e-01    2.30e-01    8.9e-04
  25000      6.75e+00    6.77e+00      6.82e-03    3.66e-03      2.25e-01    2.26e-01    8.9e-04
  26000      8.03e+00    4.56e+00      1.19e-02    1.41e-02      2.67e-01    1.44e-01    8.9e-04
  27000      6.32e+00    7.68e+00      4.46e-02    1.24e-02      1.35e-01    2.55e-01    8.9e-04
  28000      6.87e+00    6.82e+00      1.23e-02    1.73e-03      2.28e-01    2.28e-01    8.9e-04
  29000      8.03e+00    7.56e+00      4.27e-02    1.31e-02      2.19e-01    2.51e-01    8.9e-04
  30000      9.46e+00    4.76e+00      7.55e-02    1.79e-02      2.55e-01    1.45e-01    8.9e-04
  31000      3.74e+00    6.45e+00      4.58e-03    5.33e-03      1.24e-01    2.15e-01    8.9e-04
  32000      6.53e+00    7.37e+00      2.82e-02    6.52e-03      1.93e-01    2.46e-01    8.9e-04
  33000      6.81e+00    8.83e+00      7.46e-03    4.55e-02      2.26e-01    2.73e-01    8.9e-04
  34000      7.35e+00    6.95e+00      1.64e-02    2.29e-02      2.43e-01    2.26e-01    8.9e-04
  35000      4.06e+00    7.49e+00      1.47e-02    6.51e-03      1.25e-01    2.50e-01    8.9e-04
  36000      7.63e+00    6.81e+00      3.62e-02    1.33e-02      2.39e-01    2.26e-01    8.9e-04
  37000      4.00e+00    4.28e+00      2.02e-02    1.29e-02      1.12e-01    1.35e-01    8.9e-04
  38000      5.40e+00    5.29e+00      3.03e-02    1.88e-02      1.43e-01    1.63e-01    8.9e-04
  39000      7.91e+00    8.45e+00      3.27e-02    3.69e-02      2.52e-01    2.68e-01    8.9e-04
  40000      4.37e+00    7.02e+00      6.17e-03    1.57e-02      1.51e-01    2.42e-01    7.9e-04
  41000      7.45e+00    7.62e+00      1.19e-02    1.25e-02      2.60e-01    2.66e-01    7.9e-04
  42000      6.88e+00    6.31e+00      3.74e-03    2.15e-03      2.43e-01    2.23e-01    7.9e-04
  43000      6.74e+00    7.70e+00      1.28e-02    1.74e-04      2.34e-01    2.73e-01    7.9e-04
  44000      6.28e+00    6.96e+00      8.71e-04    5.65e-03      2.23e-01    2.46e-01    7.9e-04
  45000      7.26e+00    8.60e+00      1.47e-02    1.59e-02      2.52e-01    2.99e-01    7.9e-04
  46000      6.69e+00    6.21e+00      2.38e-02    9.00e-03      2.21e-01    2.15e-01    7.9e-04
  47000      4.52e+00    7.85e+00      1.42e-02    2.25e-02      1.42e-01    2.66e-01    7.9e-04
  48000      7.76e+00    4.11e+00      2.60e-03    7.17e-03      2.75e-01    1.41e-01    7.9e-04
  49000      8.66e+00    7.55e+00      5.04e-02    1.81e-02      2.47e-01    2.59e-01    7.9e-04
  50000      5.84e+00    6.39e+00      3.22e-02    9.45e-03      1.17e-01    2.21e-01    7.9e-04
  51000      7.06e+00    4.63e+00      3.21e-04    2.81e-03      2.50e-01    1.63e-01    7.9e-04
  52000      6.53e+00    7.21e+00      8.07e-03    1.18e-02      2.27e-01    2.52e-01    7.9e-04
  53000      5.46e+00    1.03e+01      1.68e-03    3.71e-02      1.93e-01    3.39e-01    7.9e-04
  54000      6.57e+00    7.13e+00      1.07e-02    4.26e-03      2.30e-01    2.52e-01    7.9e-04
  55000      5.95e+00    8.14e+00      1.34e-02    2.64e-02      1.99e-01    2.72e-01    7.9e-04
  56000      7.38e+00    7.22e+00      7.21e-03    2.34e-03      2.60e-01    2.56e-01    7.9e-04
  57000      6.67e+00    8.03e+00      1.75e-02    3.35e-02      2.17e-01    2.57e-01    7.9e-04
  58000      9.71e+00    7.59e+00      6.11e-02    2.72e-02      2.64e-01    2.50e-01    7.9e-04
  59000      7.25e+00    6.50e+00      2.23e-02    2.18e-02      2.44e-01    1.99e-01    7.9e-04
  60000      7.88e+00    3.91e+00      3.74e-02    1.32e-02      2.42e-01    1.17e-01    7.1e-04
  61000      6.46e+00    5.25e+00      8.81e-03    1.14e-03      2.35e-01    1.97e-01    7.1e-04
  62000      3.30e+00    5.61e+00      5.42e-03    3.28e-03      1.18e-01    2.10e-01    7.1e-04
  63000      7.90e+00    6.61e+00      1.99e-02    1.55e-03      2.82e-01    2.48e-01    7.1e-04
  64000      6.61e+00    7.54e+00      2.63e-03    1.53e-02      2.48e-01    2.74e-01    7.1e-04
  65000      5.75e+00    4.24e+00      1.12e-02    3.71e-03      2.02e-01    1.57e-01    7.1e-04
  66000      3.75e+00    7.47e+00      7.49e-03    3.36e-04      1.31e-01    2.80e-01    7.1e-04
  67000      6.77e+00    6.01e+00      1.67e-02    1.26e-02      2.28e-01    2.09e-01    7.1e-04
  68000      7.07e+00    6.65e+00      6.91e-03    1.57e-02      2.63e-01    2.26e-01    7.1e-04
  69000      4.10e+00    8.55e+00      8.53e-04    3.84e-02      1.54e-01    2.69e-01    7.1e-04
  70000      8.20e+00    6.45e+00      3.03e-02    1.41e-02      2.75e-01    2.33e-01    7.1e-04
  71000      6.64e+00    6.79e+00      6.76e-03    1.13e-02      2.47e-01    2.50e-01    7.1e-04
