LAMMPS data file via write_data, version 23 Jun 2022, timestep = 51000019

100 atoms
1 atom types

-0.011260420401601579 12.615610750090202 xlo xhi
-0.011260420401601579 12.615610750090202 ylo yhi
-0.011260420401601579 12.615610750090202 zlo zhi

Masses

1 28.0855

Atoms # atomic

80 1 2.0629895123903466 1.9270473084895923 0.41960113259502707 4 -1 -6
39 1 4.07072167219842 2.3415991644706255 1.5270406977777236 1 3 -7
57 1 5.6132940911519595 0.7717434313832033 0.6701925053703996 13 -1 7
63 1 7.755466645567445 0.9593160118849311 1.8047161104328697 -8 0 19
77 1 10.170269852010728 0.7297708112094696 2.203805763423824 -7 2 3
38 1 10.706454442987823 1.8687949767015193 0.1422155941500925 -12 16 1
92 1 0.9974847512270848 3.6851163876073394 1.486572785217383 7 -3 4
83 1 2.1269497329797065 5.729764291989403 1.320413644124845 -14 14 1
60 1 4.25864375342085 4.682031743667129 1.2159070010921489 -28 17 1
42 1 5.255200330792258 5.6516275671838425 3.1329249666703447 3 -7 -21
16 1 8.189751148920132 3.407692717692491 1.8954357926902707 -5 -7 14
95 1 10.078823235403739 4.896920813687486 1.7593362773210495 -10 30 10
48 1 11.681859762938522 4.003810027689126 0.3265575069009657 6 2 -4
28 1 1.1919966419109536 8.878282456369583 0.26822113609932347 0 0 -4
90 1 0.26812576235629443 8.684639455274775 2.4356539462991447 25 29 9
61 1 5.866489027655865 7.995559360149312 2.883699183371958 -9 14 -17
53 1 9.325842910663196 7.1031891446515285 1.4337569847107698 -5 -24 17
19 1 10.831981036742446 8.91313172771345 1.2951522742160475 -9 -6 1
52 1 1.1113690622945953 12.429483407857179 0.8754985864993554 22 16 -23
45 1 2.60850838078683 10.7782476719342 0.12627737361249222 -17 17 8
5 1 4.670544734382957 11.295343354103352 1.1651039247293102 -28 0 18
43 1 6.297059234960102 9.618256381161098 1.130966608834845 0 -11 6
33 1 7.981180461713614 11.363651010717646 0.7497542416015915 12 -9 -16
22 1 9.858123570611413 10.941132292724296 2.051308650530997 3 6 -21
71 1 2.748261038338978 0.03515062178239487 4.353746687408154 5 24 -4
14 1 3.869232330765411 2.025718699919301 3.827361323047866 29 12 11
74 1 5.977632554662449 2.248026268704011 4.804102806837988 9 4 -21
49 1 6.555053045832824 0.27761362410650275 3.7304418117170837 -15 19 4
15 1 11.814062465744843 1.2442641736423288 3.9079327281548717 -26 -6 -32
9 1 11.252209973187952 1.1796846048045082 6.213548844227026 27 6 13
30 1 0.3957192461920203 3.2443958384957967 3.678968524571609 24 6 -14
34 1 2.402628477199143 3.4453351621690054 4.915563137389582 -8 -8 -39
86 1 3.953609694423198 5.238953888854454 5.092893509557687 -8 21 -4
1 1 6.974035220981294 4.145052234831969 3.7599342749186593 -7 -9 -15
55 1 8.141934374606182 5.8863702536413305 4.82480075462393 25 28 -15
11 1 11.637030077226553 5.120530870603921 3.5173115014845258 -4 -8 0
35 1 10.374830297896274 5.446960026143461 5.42366652576401 10 10 17
99 1 0.8696273268668901 6.552351791227653 3.1912373712442963 12 -3 15
62 1 2.1554156421476236 6.679417638570749 5.174784237969136 -11 -24 17
7 1 3.1269012161987337 8.733246780334095 5.717948666721288 -10 -11 -10
73 1 8.126086606565652 7.76843173945091 3.355892172907586 -9 2 0
20 1 10.63710896334326 9.43190660528844 5.570839616438164 -7 -26 43
12 1 0.7185954619755269 12.236291143349337 3.234055950876147 10 6 -5
79 1 1.4674718178301678 10.32814999207688 5.982930141685663 -4 -9 16
26 1 4.991750552937404 9.478421394470724 4.512870894379277 -13 4 -9
67 1 4.632194790072201 11.540541250353208 3.4946466962787635 -17 19 -17
68 1 7.679864140238845 11.465150275349137 5.177294322109251 16 19 5
21 1 8.986595613558507 9.894539760143704 3.9843833794972316 1 1 -26
94 1 12.508430417453198 10.216301675730872 4.214497494234599 -7 -24 2
6 1 2.3997494287016474 2.28619097763955 6.978071466496045 1 28 5
84 1 0.28250836113713407 0.2927129709117041 7.7851512958046 18 -11 -9
70 1 5.903754945805684 1.5882671211023751 7.050517771816408 15 8 2
66 1 4.402963379279638 3.0470926620115066 8.051639729607666 -14 -7 -11
29 1 8.034896239077478 1.5718961649616534 8.008036071011897 13 -22 -8
18 1 9.158727733275585 0.1428715365246656 6.517254328649647 -13 -2 20
72 1 0.5044559920639343 3.6430710933899495 7.544759269051891 13 7 -38
44 1 2.848781823272107 5.632562507117768 8.559375798303533 -6 0 -33
4 1 1.033870248748409 5.899517220232723 7.08538360700184 0 -3 14
10 1 4.994943421895195 5.183632842979924 7.262296268542533 -7 -13 -2
97 1 7.452103389248771 5.254967483582084 6.989612452854025 26 -25 8
8 1 8.994296566625097 3.708022064423692 7.938959175939859 -11 2 13
13 1 10.93558433749463 3.485653905687126 6.651767990162525 -21 11 19
32 1 2.5580291898129763 9.385054575503048 9.143989071369457 16 -24 -16
31 1 5.634670996319798 7.122644840883429 8.4866940464858 -15 -1 23
36 1 4.416523622864377 8.967190331510782 7.703399514677603 4 -12 3
37 1 8.073996429833745 7.260718335993052 8.145001617797472 -17 -21 16
17 1 10.137602814269556 7.395794990899399 6.733849144238549 29 0 9
96 1 12.123526181265307 7.448798827768501 7.9558077838134 0 -19 8
56 1 0.5377520639769692 9.518441706951952 7.979932686080053 2 -10 -12
89 1 2.4344136659049576 12.453080448971033 6.7016461091047 9 -12 8
2 1 5.989667417119551 10.380718893231656 6.538255843171563 19 -16 10
75 1 4.749870250989355 12.212644856271313 7.472673351360669 -14 -13 14
24 1 7.702432057023702 9.61178825521173 8.060257589300752 -9 16 -5
