#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  59000      7.31e+00    7.12e+00      2.17e-02    2.64e-02      2.47e-01    2.10e-01    7.9e-04
  60000      8.69e+00    3.31e+00      4.45e-02    5.51e-03      2.56e-01    1.19e-01    7.1e-04
  61000      6.60e+00    5.61e+00      6.08e-03    2.28e-03      2.44e-01    2.10e-01    7.1e-04
  62000      3.30e+00    5.74e+00      6.74e-03    2.24e-03      1.15e-01    2.15e-01    7.1e-04
  63000      7.98e+00    6.88e+00      1.80e-02    6.01e-03      2.88e-01    2.57e-01    7.1e-04
  64000      6.57e+00    8.25e+00      1.95e-03    2.31e-02      2.46e-01    2.91e-01    7.1e-04
  65000      5.34e+00    4.04e+00      9.02e-03    1.16e-03      1.91e-01    1.51e-01    7.1e-04
  66000      4.56e+00    7.95e+00      1.75e-02    7.55e-04      1.25e-01    2.98e-01    7.1e-04
  67000      6.84e+00    6.51e+00      1.30e-02    1.08e-02      2.41e-01    2.33e-01    7.1e-04
  68000      7.47e+00    7.58e+00      6.71e-03    2.36e-02      2.78e-01    2.37e-01    7.1e-04
  69000      3.49e+00    7.46e+00      7.21e-03    2.60e-02      1.22e-01    2.54e-01    7.1e-04
  70000      8.40e+00    6.64e+00      3.05e-02    1.41e-02      2.83e-01    2.41e-01    7.1e-04
  71000      7.08e+00    8.47e+00      1.01e-02    1.57e-02      2.61e-01    3.10e-01    7.1e-04
  72000      4.51e+00    8.08e+00      1.80e-02    2.75e-02      1.19e-01    2.76e-01    7.1e-04
  73000      8.70e+00    6.95e+00      3.10e-02    9.11e-03      2.94e-01    2.57e-01    7.1e-04
  74000      5.47e+00    7.85e+00      2.04e-02    1.78e-02      1.53e-01    2.83e-01    7.1e-04
  75000      3.16e+00    6.51e+00      3.13e-03    2.27e-03      1.17e-01    2.44e-01    7.1e-04
  76000      4.37e+00    7.79e+00      1.15e-02    1.48e-02      1.44e-01    2.84e-01    7.1e-04
  77000      7.50e+00    6.66e+00      3.17e-02    3.94e-03      2.42e-01    2.49e-01    7.1e-04
  78000      6.98e+00    6.84e+00      6.73e-03    1.77e-03      2.60e-01    2.56e-01    7.1e-04
  79000      7.60e+00    6.51e+00      2.80e-02    7.21e-03      2.55e-01    2.42e-01    7.1e-04
  80000      9.67e+00    5.77e+00      5.04e-02    5.33e-03      2.70e-01    2.27e-01    6.3e-04
  81000      8.29e+00    4.24e+00      2.19e-02    1.16e-02      3.07e-01    1.41e-01    6.3e-04
  82000      5.86e+00    6.79e+00      2.05e-02    1.52e-02      1.66e-01    2.57e-01    6.3e-04
  83000      6.38e+00    6.86e+00      9.06e-03    1.86e-02      2.48e-01    2.53e-01    6.3e-04
