#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
      0      2.74e+01    1.62e+01      7.17e-02    3.34e-01      8.68e-01    5.02e-01    1.0e-03
   1000      9.69e+00    1.01e+01      1.34e-01    1.25e-01      3.03e-01    3.17e-01    1.0e-03
   2000      9.31e+00    8.09e+00      1.54e-02    3.00e-04      2.94e-01    2.56e-01    1.0e-03
   3000      1.00e+01    8.50e+00      4.57e-02    5.11e-03      3.16e-01    2.69e-01    1.0e-03
   4000      8.29e+00    9.27e+00      5.91e-02    5.73e-02      2.62e-01    2.93e-01    1.0e-03
   5000      7.70e+00    8.43e+00      2.12e-02    7.59e-03      2.43e-01    2.67e-01    1.0e-03
   6000      7.70e+00    8.17e+00      1.12e-01    1.39e-01      2.41e-01    2.55e-01    1.0e-03
   7000      8.72e+00    7.70e+00      2.52e-02    9.43e-02      2.76e-01    2.42e-01    1.0e-03
   8000      8.57e+00    7.70e+00      3.94e-02    3.31e-02      2.71e-01    2.43e-01    1.0e-03
   9000      9.13e+00    7.79e+00      7.33e-02    4.45e-02      2.88e-01    2.46e-01    1.0e-03
  10000      7.87e+00    9.15e+00      2.54e-02    1.03e-01      2.49e-01    2.87e-01    1.0e-03
  11000      8.07e+00    7.60e+00      6.08e-02    6.99e-02      2.54e-01    2.39e-01    1.0e-03
  12000      7.85e+00    7.55e+00      3.43e-02    1.17e-02      2.48e-01    2.39e-01    1.0e-03
  13000      7.70e+00    7.95e+00      3.93e-02    4.76e-02      2.43e-01    2.51e-01    1.0e-03
  14000      7.56e+00    8.09e+00      5.37e-02    4.18e-02      2.39e-01    2.55e-01    1.0e-03
  15000      7.80e+00    7.30e+00      5.79e-02    6.57e-02      2.46e-01    2.30e-01    1.0e-03
  16000      7.21e+00    7.10e+00      7.26e-02    2.32e-02      2.27e-01    2.24e-01    1.0e-03
  17000      7.95e+00    7.41e+00      5.15e-02    2.81e-02      2.51e-01    2.34e-01    1.0e-03
  18000      7.27e+00    7.71e+00      8.30e-02    1.01e-01      2.28e-01    2.42e-01    1.0e-03
  19000      8.29e+00    7.46e+00      2.64e-02    5.40e-02      2.62e-01    2.35e-01    1.0e-03
  20000      7.48e+00    8.17e+00      1.12e-02    6.51e-02      2.49e-01    2.20e-01    8.9e-04
  21000      7.67e+00    9.49e+00      3.36e-02    5.95e-02      2.43e-01    2.81e-01    8.9e-04
  22000      8.78e+00    7.42e+00      5.31e-02    3.05e-02      2.63e-01    2.37e-01    8.9e-04
  23000      7.72e+00    8.08e+00      3.87e-02    4.63e-03      2.40e-01    2.70e-01    8.9e-04
  24000      7.59e+00    8.16e+00      3.02e-02    4.31e-02      2.43e-01    2.51e-01    8.9e-04
  25000      7.36e+00    7.14e+00      1.73e-04    3.63e-03      2.47e-01    2.39e-01    8.9e-04
  26000      1.14e+01    7.69e+00      1.23e-01    4.50e-02      2.25e-01    2.32e-01    8.9e-04
  27000      8.61e+00    7.82e+00      3.76e-02    1.72e-02      2.73e-01    2.58e-01    8.9e-04
  28000      7.33e+00    7.53e+00      1.67e-02    2.76e-02      2.42e-01    2.42e-01    8.9e-04
  29000      6.84e+00    7.38e+00      1.46e-02    2.48e-02      2.26e-01    2.39e-01    8.9e-04
